Date,BTC,ETH,XRP,XLM,LTC,ADA
2019-08-08,12060,228.5,0.31204,0.07874,92.75,0.05326
2019-08-09,12045.68,221.79,0.30921,0.07712,90.45,0.05231
2019-08-10,11985,215,0.30562,0.07433,87.5,0.05347
2019-08-11,11600,216.94,0.30605,0.07995,91.57,0.056
2019-08-12,11577.89,216.81,0.30536,0.07839,90.04,0.05491
2019-08-13,11456.16,214.3,0.30129,0.07558,86.79,0.05328
2019-08-14,10897.48,209.9,0.29864,0.07445,86.32,0.05382
2019-08-15,10460,189.95,0.2707,0.0708,77.7,0.04821
2019-08-16,10536.03,188.39,0.26526,0.07022,76.42,0.04759
2019-08-17,10465.14,187,0.26953,0.06913,75.35,0.04808
2019-08-18,10500,197.91,0.2919,0.07158,78,0.05127
2019-08-19,10930,203.59,0.29035,0.0722,78.95,0.05084
2019-08-20,10949.96,202.75,0.28234,0.07195,77.3,0.0503
2019-08-21,10804.13,197.2,0.27448,0.0688,75.33,0.04919
2019-08-22,10242,195.14,0.27419,0.06958,74.64,0.0512
2019-08-23,10445,196.19,0.27815,0.06929,75.92,0.0503
2019-08-24,10419.42,194.09,0.27726,0.071,75.65,0.0515
2019-08-25,10333,192.4,0.27602,0.07184,74.93,0.05265
2019-08-26,10604,193.7,0.27969,0.07108,75.46,0.05082
2019-08-27,10391.08,189.49,0.27065,0.06973,73.75,0.04999
2019-08-28,10299,188.25,0.26974,0.06851,73.14,0.05041
2019-08-29,9724,173.5,0.26264,0.06397,66.77,0.04587
2019-08-30,9696,170.77,0.2576,0.06326,65.6,0.04578
2019-08-31,9684.51,174.98,0.26047,0.06259,65.39,0.04546
2019-09-01,9830,173.42,0.25891,0.06271,67.21,0.04519
2019-09-02,10450,181,0.26428,0.06363,68.03,0.04626
2019-09-03,10773,183,0.267,0.06409,71,0.04744
2019-09-04,10799,180.14,0.26299,0.06306,69.24,0.04668
2019-09-05,10900,176.19,0.25937,0.06202,67.39,0.04543
2019-09-06,10905.87,177.87,0.25868,0.061,68,0.0447
2019-09-07,10558,180.8,0.26285,0.06108,70.57,0.04659
2019-09-08,10592.5,184.18,0.26591,0.06178,71.46,0.0475
2019-09-09,10480,185.38,0.26423,0.06169,71.38,0.04727
2019-09-10,10384.99,184.36,0.26371,0.06112,73.1,0.04814
2019-09-11,10293,182.8,0.26092,0.06032,71.81,0.04713
2019-09-12,10448.81,182.38,0.25686,0.05887,70,0.04629
2019-09-13,10439,181.38,0.256,0.05871,69.58,0.04594
2019-09-14,10419.99,188.79,0.26551,0.05943,71.5,0.0471
2019-09-15,10360,190.45,0.26419,0.0589,71.28,0.04711
2019-09-16,10355,199.44,0.263,0.05908,73.67,0.04749
2019-09-17,10275,215.13,0.2985,0.0667,77.59,0.05072
2019-09-18,10258.02,217.27,0.32631,0.089,80.3,0.05557
2019-09-19,10325,223.94,0.31345,0.08869,80.9,0.05456
2019-09-20,10281,221.54,0.30159,0.08081,77.08,0.05258
2019-09-21,10176.7,221.5,0.298,0.0738,75.58,0.05336
2019-09-22,10089,215.61,0.28982,0.06992,73.22,0.0519
2019-09-23,10049.99,211.68,0.28666,0.06914,74.24,0.04945
2019-09-24,9794.99,202.98,0.27317,0.06511,67.42,0.04659
2019-09-25,8730,174.85,0.24953,0.06029,58.34,0.04031
2019-09-26,8465.99,171.01,0.25,0.0625,57.56,0.04014
2019-09-27,8265,176.72,0.248,0.0595,56.61,0.0398
2019-09-28,8315,175.49,0.24433,0.05923,56.16,0.03957
2019-09-29,8229.13,174.5,0.24261,0.05869,55.58,0.0388
2019-09-30,8337.26,181.24,0.26192,0.0622,56.25,0.03946
2019-10-01,8500,185.53,0.261,0.06226,57.6,0.03995
2019-10-02,8373.91,181.29,0.25481,0.05978,56.66,0.03945
2019-10-03,8393,180.72,0.25305,0.0598,57.07,0.03959
2019-10-04,8232.41,178.98,0.25664,0.0598,57.5,0.04023
2019-10-05,8183.41,176.71,0.2566,0.05925,57.4,0.03977
2019-10-06,8153.87,177.04,0.25634,0.05924,56.8,0.03999
2019-10-07,8299.92,182.32,0.28114,0.06368,58.65,0.04186
2019-10-08,8325,184.87,0.28548,0.06374,58.45,0.04217
2019-10-09,8670,195.53,0.28693,0.065,60.06,0.04345
